timestamp,hostname,empresa_id,servidor_id,mac_address,ip,cpu,ram,disco,health_score,status_cpu,status_ram,status_disco,temp_max_cpu,status_temperatura,margem_termica,status_margem,temperatura_ambiente,clima,umidade,fan_principal_rpm,indice_resfriamento,status_resfriamento,throttling,bytes_recv,bytes_sent,pack_recv,pack_sent,packet_loss_internet,latency_min_ms,latency_avg_ms,latency_max_ms,lat_adsb_rastreamento,lat_rastreamento_correlacao,lat_correlacao_rotas,lat_rotas_api,lat_api_bd,lat_bd_sync,rastreamento_mbps,rotas_mbps,correlacao_mbps,api_gateway_mbps,bd_mbps,sync_service_mbps,rastreamento_loss,correlacao_loss,rotas_loss,api_loss,bd_loss,sync_loss,opensky_timestamp,total_aeronaves,avg_adsb_update_seconds
2026-05-23 23:50:59,Server-3,1,12,f0:bc:72:73:22:7a,192.168.21.237,53.7,92.3,73.4,26.87,estavel,critico,estavel,60.5,critica,34.5,boa,18.34,céu limpo,37,4063,78.1,moderada,SIM,571785041,504656345,587565,325304,2.58,15,53.1,152,65.48,40.53,95.38,92.72,34.66,12.29,47.47,30.83,12.29,45.92,16.04,39.41,1.87,0.14,2.08,1.6,0.57,0.7,1763281345,47,51.19
2026-05-23 23:51:59,Server-1,5,3,16:90:96:10:d8:10,192.168.16.102,71.3,43.5,73.1,37.37,alerta,estavel,estavel,77.4,critica,17.6,excelente,31.5,chuva forte,58,3534,60.6,ruim,NAO,769468263,530511072,340560,613542,1.96,10,65.0,185,10.1,32.12,88.09,59.26,53.43,46.61,25.82,46.01,8.62,46.6,36.04,30.46,1.74,1.29,1.67,0.44,0.35,2.16,1710203841,380,31.52
2026-05-23 23:52:59,Server-1,3,8,4a:27:83:b0:e5:bc,192.168.11.199,29.7,56.0,88.4,41.97,estavel,estavel,alerta,60.2,critica,34.8,boa,32.27,chuva forte,66,2738,64.4,boa,SIM,738317654,402876106,463273,794158,2.24,10,37.4,196,39.06,84.24,28.54,17.78,89.96,81.02,34.05,3.53,18.89,20.78,18.57,8.32,0.32,1.91,0.61,0.54,2.87,1.42,1792891907,282,30.86
2026-05-23 23:53:59,Server-6,2,18,71:17:00:11:48:cc,192.168.57.225,50.6,97.6,89.1,20.9,estavel,critico,alerta,69.7,normal,25.3,ruim,32.61,chuva forte,92,3637,40.1,boa,NAO,273982601,571303077,579034,188693,3.54,27,33.7,91,48.03,50.34,75.64,25.43,96.59,84.3,27.09,10.46,47.83,38.54,43.19,21.19,2.46,0.48,2.26,0.38,1.62,2.05,1780793095,184,45.78
2026-05-23 23:54:59,Server-9,3,4,5d:3a:df:49:7c:63,192.168.124.177,31.7,84.4,28.1,51.93,estavel,alerta,estavel,94.3,alta,0.7,ruim,20.02,chuva leve,43,2883,52.4,ruim,NAO,826931463,417300953,346677,464855,0.57,26,32.2,197,41.94,36.38,67.97,47.55,24.26,38.59,3.27,4.44,19.08,38.47,43.91,10.56,2.55,2.57,2.68,1.76,1.23,2.42,1774368064,228,50.75
2026-05-23 23:55:59,Server-3,1,12,06:c3:d7:4b:3d:6f,192.168.189.106,44.6,24.5,51.5,59.8,estavel,estavel,estavel,36.0,normal,59.0,excelente,22.35,chuva leve,33,1892,50.0,ruim,NAO,527712863,420239255,616357,245709,0.98,15,38.0,93,89.15,10.92,27.14,98.05,52.99,69.28,8.95,28.35,40.92,12.92,26.91,37.53,0.83,0.14,0.45,2.31,1.77,1.79,1760884957,260,12.61
2026-05-23 23:56:59,Server-8,3,4,31:aa:44:a7:f6:bd,192.168.146.210,48.3,57.2,97.0,32.5,estavel,estavel,critico,88.2,critica,6.8,boa,31.48,chuva leve,69,4221,93.7,moderada,NAO,273401466,813423584,310988,139537,2.81,16,35.0,82,90.53,38.57,66.41,67.29,42.81,23.12,7.44,23.0,40.26,3.37,18.69,21.04,0.02,0.63,2.57,0.03,1.82,2.7,1725679238,249,6.82
2026-05-23 23:57:59,Server-1,3,3,02:1e:a2:d0:ed:df,192.168.31.22,30.3,37.2,55.3,59.07,estavel,estavel,estavel,91.6,normal,3.4,excelente,23.4,céu limpo,77,3335,71.9,excelente,NAO,728215014,281947457,669776,756413,0.01,10,32.9,192,53.45,48.25,25.38,29.17,99.47,43.51,6.34,32.62,13.71,48.62,48.47,37.1,0.38,2.36,2.13,2.02,2.23,1.7,1783197303,315,58.32
2026-05-23 23:58:59,Server-2,2,1,81:77:3a:ee:88:13,192.168.213.130,5.9,92.0,97.2,34.97,estavel,critico,critico,69.1,alta,25.9,ruim,31.86,nublado,85,3981,63.6,boa,NAO,828462532,419708424,415754,809386,4.2,11,30.8,156,97.54,13.19,56.34,51.74,19.5,61.96,46.83,5.92,33.54,38.42,10.97,35.34,0.46,2.91,1.48,1.38,2.82,1.88,1733785202,145,45.5
2026-05-23 23:59:59,Server-3,4,13,73:df:13:6f:ef:21,192.168.180.9,9.3,52.1,42.7,65.3,estavel,estavel,estavel,47.5,normal,47.5,ruim,23.06,céu limpo,32,4214,62.8,ruim,SIM,549365713,754168242,240147,386040,0.2,11,78.1,88,49.11,65.73,34.73,20.46,45.38,21.52,41.37,35.01,2.35,49.39,29.8,49.72,2.24,1.3,0.91,2.01,0.99,1.74,1760966741,412,10.01
2026-05-24 00:00:59,Server-6,2,17,28:00:42:46:dd:b2,192.168.107.137,37.2,51.0,79.1,44.23,estavel,estavel,estavel,54.7,alta,40.3,excelente,26.5,chuva forte,88,3670,43.2,boa,NAO,301073371,226599513,714878,382728,4.44,27,66.3,181,48.34,56.17,59.81,78.8,20.34,76.98,25.43,22.1,43.47,48.57,48.99,30.95,0.32,2.74,1.94,1.26,2.53,2.76,1794071049,457,58.58
2026-05-24 00:01:59,Server-3,3,5,39:cd:14:5d:7c:e8,192.168.159.100,94.5,94.5,55.3,18.57,critico,critico,estavel,50.8,alta,44.2,boa,27.28,chuva forte,63,2249,81.0,boa,SIM,151897292,320881058,460028,522183,2.03,10,62.8,102,92.98,67.65,65.13,99.69,41.76,36.73,8.27,18.21,36.33,40.28,48.62,29.21,2.62,0.77,0.92,0.31,2.71,1.97,1795515455,129,43.68
2026-05-24 00:02:59,Server-7,1,8,14:84:18:58:e0:e8,192.168.255.184,83.4,50.3,75.7,30.2,alerta,estavel,estavel,62.8,alta,32.2,ruim,29.21,chuva forte,88,3478,41.8,excelente,NAO,782921407,152539417,778175,726964,4.51,21,54.1,139,94.5,33.57,74.7,28.29,13.06,48.6,8.9,4.35,40.5,13.97,33.99,43.3,1.89,1.12,1.28,1.1,2.11,2.13,1702214115,44,23.86
2026-05-24 00:03:59,Server-3,5,5,fc:fc:d6:98:54:21,192.168.152.194,79.6,26.9,37.9,51.87,alerta,estavel,estavel,61.4,alta,33.6,boa,23.34,céu limpo,41,3742,44.8,excelente,NAO,402082897,199292255,370307,278882,2.18,22,78.1,89,77.91,70.19,65.42,39.88,51.1,41.41,46.03,4.46,38.74,24.56,10.59,3.69,2.57,0.37,0.35,1.7,0.36,1.14,1770084921,383,29.48
2026-05-24 00:04:59,Server-2,1,20,9b:47:23:28:f9:07,192.168.173.215,21.6,35.0,49.6,64.6,estavel,estavel,estavel,90.4,critica,4.6,ruim,23.63,céu limpo,48,2406,76.6,ruim,NAO,717342148,587015998,548822,464608,4.72,21,24.2,160,83.04,89.0,62.61,79.34,16.23,22.0,22.86,37.89,45.03,6.0,24.86,45.29,1.37,0.43,1.48,1.69,2.56,0.53,1786631301,390,15.45
2026-05-24 00:05:59,Server-2,5,3,4a:b3:6d:5c:78:22,192.168.212.204,74.1,94.4,47.5,28.0,alerta,critico,estavel,88.1,critica,6.9,excelente,18.62,nublado,32,2612,76.1,moderada,NAO,549286323,515691049,248273,267476,1.19,10,23.1,112,60.98,33.15,11.12,48.9,59.85,53.32,34.54,20.27,40.82,21.16,48.56,45.47,1.62,1.57,0.34,2.53,1.3,1.14,1767133868,149,21.95
2026-05-24 00:06:59,Server-7,5,2,f7:9a:21:ea:d2:9e,192.168.118.32,69.5,47.6,61.1,40.6,estavel,estavel,estavel,51.0,alta,44.0,excelente,25.87,chuva forte,97,3499,95.1,boa,NAO,547064006,820807732,305329,622005,4.81,12,52.9,143,76.99,69.76,60.69,37.54,63.55,22.59,12.0,12.09,32.0,10.07,29.17,46.38,0.57,1.77,1.97,0.31,1.8,0.35,1704054369,385,55.69
