data_hora,hostname,id_empresa,servidor_id,ip,cpu,ram,disco,health_score,status_cpu,status_ram,status_disco
2026-05-22 14:50:27,Gustavo,1,7,192.168.56.1,10.8,89.3,89.8,36.7,estavel,critico,critico
2026-05-23 01:40:52,Gustavo,1,7,192.168.56.1,27.8,85.6,90.2,32.13,estavel,critico,critico
2026-05-23 01:41:05,Gustavo,1,7,192.168.56.1,19.6,85.8,90.2,34.8,estavel,critico,critico
2026-05-23 01:41:18,Gustavo,1,7,192.168.56.1,65.2,86.7,90.2,19.3,estavel,critico,critico
2026-05-23 01:41:31,Gustavo,1,7,192.168.56.1,22.4,86.9,90.2,33.5,estavel,critico,critico
2026-05-23 01:41:44,Gustavo,1,7,192.168.56.1,35.4,87.2,90.2,29.07,estavel,critico,critico
2026-05-23 01:41:57,Gustavo,1,7,192.168.56.1,56.0,88.0,90.2,21.93,estavel,critico,critico
2026-05-23 01:42:09,Gustavo,1,7,192.168.56.1,37.7,87.8,90.2,28.1,estavel,critico,critico
2026-05-23 01:42:22,Gustavo,1,7,192.168.56.1,14.4,84.8,90.2,36.87,estavel,atencao,critico
2026-05-23 01:42:35,Gustavo,1,7,192.168.56.1,17.9,84.5,90.2,35.8,estavel,atencao,critico
2026-05-23 01:42:48,Gustavo,1,7,192.168.56.1,21.6,84.4,90.2,34.6,estavel,atencao,critico
2026-05-23 01:43:00,Gustavo,1,7,192.168.56.1,15.9,84.5,90.2,36.47,estavel,atencao,critico
2026-05-23 01:43:13,Gustavo,1,7,192.168.56.1,17.4,85.2,90.2,35.73,estavel,critico,critico
2026-05-23 01:43:26,Gustavo,1,7,192.168.56.1,16.3,86.1,90.2,35.8,estavel,critico,critico
2026-05-23 01:43:39,Gustavo,1,7,192.168.56.1,56.2,86.7,90.2,22.3,estavel,critico,critico
2026-05-23 01:43:52,Gustavo,1,7,192.168.56.1,21.3,86.3,90.2,34.07,estavel,critico,critico
2026-05-23 01:44:04,Gustavo,1,7,192.168.56.1,39.9,88.6,90.2,27.1,estavel,critico,critico
2026-05-23 01:44:17,Gustavo,1,7,192.168.56.1,30.8,89.6,90.2,29.8,estavel,critico,critico
2026-05-23 01:44:30,Gustavo,1,7,192.168.56.1,33.7,89.7,90.2,28.8,estavel,critico,critico
2026-05-23 01:44:43,Gustavo,1,7,192.168.56.1,34.4,88.4,90.2,29.0,estavel,critico,critico
2026-05-23 01:44:56,Gustavo,1,7,192.168.56.1,88.2,89.3,90.2,10.77,critico,critico,critico
2026-05-23 01:45:09,Gustavo,1,7,192.168.56.1,54.5,86.0,90.2,23.1,estavel,critico,critico
2026-05-23 01:45:22,Gustavo,1,7,192.168.56.1,42.9,85.6,90.2,27.1,estavel,critico,critico
2026-05-23 01:45:35,Gustavo,1,7,192.168.56.1,19.9,85.8,90.2,34.7,estavel,critico,critico
2026-05-23 01:45:48,Gustavo,1,7,192.168.56.1,45.2,86.0,90.2,26.2,estavel,critico,critico
